Date,Value,Anomaly
189510,59.7,-4.2
189610,63.2,-0.7
189710,67.1,3.2
189810,61,-2.9
189910,66,2.1
190010,68.2,4.3
190110,62.5,-1.4
190210,63.1,-0.8
190310,63.2,-0.7
190410,64.6,0.7
190510,63.7,-0.2
190610,60.6,-3.3
190710,63.3,-0.6
190810,60.3,-3.6
190910,63.2,-0.7
191010,66.4,2.5
191110,68.5,4.6
191210,65.9,2
191310,60.8,-3.1
191410,63.8,-0.1
191510,66.3,2.4
191610,64.2,0.3
191710,58.5,-5.4
191810,68.6,4.7
191910,74,10.1
192010,63.8,-0.1
192110,62.4,-1.5
192210,64.6,0.7
192310,63,-0.9
192410,64,0.1
192510,64.8,0.9
192610,66,2.1
192710,66.5,2.6
192810,67.2,3.3
192910,62.3,-1.6
193010,61.5,-2.4
193110,67.5,3.6
193210,62,-1.9
193310,65.2,1.3
193410,65.8,1.9
193510,66,2.1
193610,66,2.1
193710,61.8,-2.1
193810,65.2,1.3
193910,65.5,1.6
194010,64.7,0.8
194110,70.9,7
194210,64.6,0.7
194310,61.5,-2.4
194410,63,-0.9
194510,62.6,-1.3
194610,63.8,-0.1
194710,68.9,5
194810,61,-2.9
194910,69,5.1
195010,66.1,2.2
195110,65.9,2
195210,57.6,-6.3
195310,65.3,1.4
195410,65.2,1.3
195510,62,-1.9
195610,65,1.1
195710,59.4,-4.5
195810,62.3,-1.6
195910,66.2,2.3
196010,65.1,1.2
196110,62,-1.9
196210,65.6,1.7
196310,65.7,1.8
196410,59.8,-4.1
196510,62.1,-1.8
196610,61.5,-2.4
196710,60.7,-3.2
196810,63.6,-0.3
196910,64.1,0.2
197010,64.2,0.3
197110,67.7,3.8
197210,63.4,-0.5
197310,66.7,2.8
197410,60.3,-3.6
197510,64.3,0.4
197610,57.9,-6
197710,60.3,-3.6
197810,62.2,-1.7
197910,62.4,-1.5
198010,60.2,-3.7
198110,61.8,-2.1
198210,64.1,0.2
198310,64,0.1
198410,69.5,5.6
198510,67.6,3.7
198610,64.4,0.5
198710,57.8,-6.1
198810,59.2,-4.7
198910,62.3,-1.6
199010,64,0.1
199110,64.6,0.7
199210,61.9,-2
199310,62.8,-1.1
199410,64,0.1
199510,63.6,-0.3
199610,62.7,-1.2
199710,63.1,-0.8
199810,66.8,2.9
199910,63.6,-0.3
200010,64.6,0.7
200110,60.6,-3.3
200210,67.8,3.9
200310,63.5,-0.4
200410,68.5,4.6
200510,63.8,-0.1
200610,61.9,-2
200710,66.5,2.6
200810,62.2,-1.7
200910,62.8,-1.1
201010,64.3,0.4
201110,60.6,-3.3
201210,62.2,-1.7
201310,64.9,1
201410,65.2,1.3
201510,65,1.1
201610,68.5,4.6
201710,65.8,1.9
201810,67.4,3.5
201910,67.8,3.9
202010,66.9,3
202110,67.3,3.4
202210,61.2,-2.7
202310,65.2,1.3
202410,66.3,2.4
